timestamp,bid_open,bid_low,bid_high,bid_close,ask_open,ask_low,ask_high,ask_close,price_open,price_low,price_high,price_close,price_mean,volume,open_interest
2024-10-15 02:00:00,54,54,54,54,55,55,55,55,55.0,54.0,55.0,55.0,54.0,3746,2246135
2024-10-15 03:00:00,54,54,54,54,55,55,55,55,55.0,54.0,55.0,55.0,54.0,2311,2248120
2024-10-15 04:00:00,54,54,54,54,55,55,55,55,55.0,54.0,55.0,55.0,54.0,4529,2250559
2024-10-15 05:00:00,54,54,54,54,55,55,55,55,55.0,54.0,55.0,55.0,55.0,16921,2267478
2024-10-15 06:00:00,54,54,55,54,55,55,56,55,55.0,54.0,56.0,55.0,55.0,92759,2296628
2024-10-15 07:00:00,54,54,54,54,55,55,55,55,55.0,54.0,55.0,55.0,54.0,5474,2301045
2024-10-15 12:00:00,54,54,54,54,55,55,56,56,,,,,,0,2301045
2024-10-15 13:00:00,54,54,55,55,56,56,56,56,56.0,55.0,56.0,56.0,55.0,55380,2354634
2024-10-15 14:00:00,55,55,55,55,56,56,56,56,56.0,55.0,56.0,56.0,55.0,66310,2419838
2024-10-15 15:00:00,55,55,55,55,56,56,56,56,55.0,55.0,56.0,56.0,55.0,51470,2466029
2024-10-15 16:00:00,55,54,55,54,56,55,56,55,56.0,54.0,56.0,55.0,55.0,559724,2547742
2024-10-15 17:00:00,54,54,54,54,55,55,55,55,55.0,54.0,55.0,54.0,54.0,103396,2648722
2024-10-15 18:00:00,54,54,55,55,55,55,56,56,55.0,54.0,56.0,56.0,54.0,89571,2696436
2024-10-15 19:00:00,55,55,56,56,56,56,57,57,56.0,55.0,57.0,57.0,56.0,282011,2736137
2024-10-15 20:00:00,56,55,56,55,57,56,57,56,57.0,55.0,57.0,56.0,56.0,249337,2759973
2024-10-15 21:00:00,55,54,55,54,56,55,56,55,55.0,54.0,56.0,55.0,55.0,1104296,3352486
2024-10-15 22:00:00,54,54,55,55,55,55,56,56,55.0,55.0,56.0,55.0,55.0,600674,3380918
2024-10-15 23:00:00,55,55,56,55,56,56,57,56,56.0,55.0,56.0,56.0,56.0,268254,3611090
2024-10-16 00:00:00,55,55,55,55,56,56,56,56,56.0,55.0,56.0,55.0,55.0,36441,3646454
2024-10-16 01:00:00,55,55,55,55,56,56,56,56,56.0,55.0,56.0,56.0,55.0,62644,3707241
2024-10-16 02:00:00,55,55,55,55,56,56,56,56,56.0,55.0,56.0,56.0,55.0,8453,3714151
2024-10-16 03:00:00,55,55,56,56,56,56,57,57,56.0,56.0,57.0,57.0,56.0,31393,3734841
2024-10-16 04:00:00,56,56,56,56,57,57,57,57,57.0,56.0,57.0,57.0,56.0,33304,3766640
2024-10-16 05:00:00,56,56,56,56,57,57,57,57,57.0,56.0,57.0,56.0,56.0,121300,3779015
2024-10-16 06:00:00,56,56,56,56,57,57,57,57,57.0,56.0,57.0,57.0,56.0,134022,3782012
2024-10-16 07:00:00,56,56,56,56,57,57,57,57,57.0,56.0,57.0,57.0,56.0,4593,3785698
2024-10-16 13:00:00,56,56,57,57,57,57,58,58,57.0,57.0,58.0,57.0,57.0,73007,3759036
2024-10-16 14:00:00,57,56,57,56,58,57,58,57,58.0,56.0,58.0,57.0,57.0,205040,3792173
2024-10-16 15:00:00,56,56,56,56,57,57,57,57,57.0,56.0,57.0,57.0,56.0,14397,3806132
2024-10-16 16:00:00,56,56,56,56,57,57,57,57,56.0,56.0,57.0,57.0,56.0,24369,3827562
2024-10-16 17:00:00,56,56,56,56,57,57,57,57,57.0,56.0,57.0,57.0,56.0,39758,3867023
2024-10-16 18:00:00,56,55,56,55,57,56,57,56,57.0,55.0,57.0,56.0,55.0,59447,3888470
2024-10-16 19:00:00,55,55,55,55,56,56,56,56,56.0,55.0,56.0,55.0,55.0,28935,3914878
2024-10-16 20:00:00,55,55,55,55,56,56,56,56,55.0,55.0,56.0,56.0,55.0,28232,3942424
2024-10-16 21:00:00,55,54,55,54,56,55,56,55,56.0,54.0,56.0,55.0,54.0,68091,3989261
